id,English,Russian,French,German,Spanish,Italian,Portuguese,ChineseSimplified,Turkish,Japanese,Korean,Arabic
idQuitGame,Quit Game,Выйти из игры,Quitter la partie,Spiel beenden,Salir del juego,Esci dal gioco,Sair do jogo,退出游戏,Oyundan Çık,ゲームを終了する,게임 종료,خروج
idStop,Stop,Стоп,Stop,Stopp,Detener,Stop,Parar,停止,Dur,停止,정지,توقف
idReturn,Return,Вернуться,Retour,Zurück,Volver,Indietro,Retornar,返回,Geri Dön,戻る,돌아가기,إعادة
idClose,Close,Закрыть,Fermer,Schließen,Cerrar,Chiudi,Fechar,关闭,Kapat,閉める,닫기,إغلاق
idOpenShop,Open Shop,Открыть Магазин,Ouvrir boutique,Shop öffnen,Abrir tienda,Apri il negozio,Abrir loja,打开商店,Dükkanı Aç,ショップを開く,샵 열기,فتح المتجر
idOk,OK,OK,OK,OK,Aceptar,OK,OK,确定,TAMAM,OK,확인,حسناً
idCancel,Cancel,Отмена,Annuler,Abbrechen,Cancelar,Annulla,Cancelar,取消,İptal,キャンセル,취소,إلغاء
idReady,Ready,Готово,Prêt,Fertig,Listo,Pronto,Pronto,就绪,Hazır,準備完了,준비,جاهز
idAdd,ADD,Добавить,AJOUTER,HINZUFÜGEN,AÑADIR,AGGIUNGI,ADICIONAR,添加,EKLE,追加,추가,إضافة
idCollect,Collect,Забрать,Collecter,Einsammeln,Recibir,Raccogli,Coletar,收取,Topla,収集,획득,تحصيل
idSold,SOLD,Продан,VENDU,VERKAUFT,VENDIDO,VENDUTO,VENDIDO,已售,SATILDI,売り切れ,판매 완료,مباع
timerSeconds,{0} sec,{0} сек,{0} sec,{0} Sek.,{0} s,{0} sec,{0} seg.,{0}秒,{0} san.,{0} 秒,{0}초,{0} ثانية
timerMinutes,{0}m {1}s,{0}м {1}с,{0}m {1}s,{0}m {1}s,{0} m {1} s,{0} m {1} s,{0}m {1}s,{0}分{1}秒,{0}d {1}sn,{0} 分 {1} 秒,{0}분 {1}초,{0}د {1} ث
timerHours,{0}h {1}m,{0}ч {1}м,{0}h {1}m,{0}h {1}m,{0} h {1} m,{0} h {1} m,{0}h {1}m,{0}小时{1}分,{0}s {1}d,{0} 時{1} 分,{0}시간 {1}분,{0}س{1} د
timerDays,{0}d {1}h,{0}д {1}ч,{0}j {1}h,{0}d {1}h,{0} d {1} h,{0} g {1} h,{0}d {1}h,{0}天{1}小时,{0}g {1}s,{0} 日 {1} 時,{0}일 {1}시간,{0}ي {1} س
timeShortSeconds,{0}s ,{0}с ,{0}s,{0}s,{0} s,{0} s,{0}s,{0}秒,{0}sa,{0} 秒,{0}초,{0}ث
timeShortMinutes,{0}m ,{0}м ,{0}m,{0}m,{0} m,{0} m,{0}m,{0}分,{0}d,{0} 分,{0}분,{0}د
timeShortHours,{0}h ,{0}ч ,{0}h,{0}h,{0} h,{0} h,{0}h,{0}小时,{0}s,{0} 時,{0}시간,{0}س
timeShortDays,{0}d ,{0}д ,{0}j,{0}d,{0} d,{0} g,{0}d,{0}天,{0}g,{0} 日,{0}일,{0}ي
idFree,FREE,Бесплатно,LIBRE,GRATIS,GRATIS,GRATIS,GRÁTIS,免费,BEDAVA,無料,무료,مجاناً
idBack,Back,Назад,Retour,Zurück,Atrás,Indietro,Voltar,返回,Geri,戻る,뒤로,عودة
idFull,Full,Переполнено,Complet,Voll,Lleno,Pieno,Cheio,已满,Dolu,満杯,가득 참,ممتلئ
idLevel,Level,Уровень,Niveau,Level,Nivel,Livello,Nível,等级,Seviye,レベル,레벨,المستوى 
idConfirm,Confirm,Подтвердить,Confirmer,Bestätigen,Confirmar,Conferma,Confirmar,确认,Onayla,確認,확인,تأكيد
idRotate,Rotate,Повернуть,Faire tourner,Drehen,Girar,Ruota,Girar,旋转,Döndür,回転,회전,تدوير
idTrain,Train,Тренировать,Entraîner,Trainieren,Entrenar,Allena,Treinar,训练,Çalıştır,トレーニング,트레이닝,تدريب
idRequire,Require,Требуется,Nécessite,Benötigt,Requisito,Ti serve,Requer,需要,Gerektirir:,必要,필요,يتطلب
idDone,Done,Выполнено,Effectué,Fertig,Listo,Fatto,Feito,完成,Yapıldı,完了,확인,تم
idLoadingBar,L o a d i n g ...,З а г р у з к а ...,Chargement...,Wird geladen ...,C a r g a n d o ...,C a r i c a m e n t o...,Carregando...,载入中…,Yükleniyor...,読み込み中・・・,불러오는 중…,جاري التحميل...
idGoToShop,Go To Shop,В Магазин,Aller à la boutique,Zum Shop,Ir a la tienda,Vai al negozio,Ir para a loja,前往商店,Dükkana Git,ショップに行く,샵으로 가기,الذهاب إلى المتجر
idCongratulations,Congratulations!\nYou've reached new Rank!,Поздравляем!\nВы получили новый ранг!,Félicitations !\nVous avez atteint un nouveau Classement !,Glückwunsch!\nDu hast einen neuen Rang erreicht!,¡Enhorabuena!\n¡Has subido de rango!,Complimenti!\nIl tuo rango è cresciuto!,Parabéns!\nVocê alcançou uma nova Posição!,恭喜！\n你已达到新的品级！,Tebrikler!\nYeni bir Seviyeye eriştin!,おめでとう! \n 新しいランクに達しました!,축하합니다!\n새로운 랭크에 도달했습니다!,مبروك!\nلقد وصلت إلى ترتيب جديد!
idRankUp,RANK UP!,Новый Ранг!,MONTÉE AU CLASSEMENT !,NEUER RANG!,¡NUEVO RANGO!,AUMENTO DI RANGO!,SUBIU DE POSIÇÃO!,品级提升！,SEVİYE ATLA!,ランクアップ!,랭크 상승!,تم رفع الترتيب!
idHeadQuarters,Headquarters,Главный Офис,Quartier général,Hauptquartier,Sede,Sede centrale,Escritório central,总部,Merkez,本部,본부,المقر
idStaff,Staff,Персонал,Personnel,Mitarbeiter,Plantilla,Staff,Equipe,员工,Personel,スタッフ,직원,طاقم العمل
idLeaders,LeaderBoards,Лидеры,Chefs,Anführer,Líderes,Leader,Líderes,领导,Liderler,リーダー,리더,القادة
idComingSoon,Coming Soon,В разработке,Prochainement,In Kürze,Próximamente,Prossimamente!,Em breve,即将推出,Çok Yakında,近日公開,곧 제공,قريباً
idArms,Arms,Руки,Bras,Arme,Brazos,Braccia,Braços,手臂,Kollar,腕,팔기,الأذرع
idLegs,Legs,Ноги,Jambes,Beine,Piernas,Gambe,Pernas,腿部,Bacaklar,足,다리,السيقان
idTorso,Torso,Торс,Torse,Oberkörper,Torso,Torso,Tronco,躯干,Gövde,胴体,몸통,الجذع
idCardio,Cardio,82% на рикye ,Cardio,Ausdauer,Cardio,Cardio,Cardio,有氧运动,Kardiyo,カーディオ,유산소,القلب
idCompleted,Completed,Завершено,Terminé,Abgeschlossen,Completado,Completato,Concluído,已完成,Tamamlandı,完了,완료,مكتمل
idKick,Kick,Выгнать,Expulser,Rauswerfen,Echar,Espelli,Expulsar,踢出,Tekme,キック,내보내기,الركل
idMore,More,Больше,Plus,Mehr,Más,Altro,Mais,更多,Daha fazla,もっと,자세히,المزيد
idLocked,Locked,Закрыто,Verrouillé,Gesperrt,Bloqueado,Bloccato,Bloqueado,未解锁,Kapalı,ロック,잠김,مقفول
idMax,Max,Макс.,Max,Max.,Máx.,Max,Máx.,最大,Azami,最大,최대,الأقصى
idExp,Experience,Опыт,Expérience,Erfahrung,Experiencia,Esperienza,Experiência,经验,XP,XP,XP,تجربة
idHire,HIRE,Нанять,RECRUTER,ANHEUERN,CONTRATAR,ASSUMI,CONTRATAR,雇佣,İŞE AL,リクルート,고용하기,توظيف
idLvl,Lvl,Ур.,Niveau,Lvl,Nivel,Lvl,Nível,等级,Bölüm,レベル,레벨,اتس
idConnect,CONNECT,ПОДКЛЮЧИТЬ,SE CONNECTER,VERBINDED,CONECTAR,CONNETTITI,CONECTAR,连接,Bağlan,接続,연결,الاتصال
idReConnect,Reconnect,Подключиться,Se reconnecter,Erneut verbinden,Volver a conectar,Riconnessione,Reconectar,重新连接,Tekrar bağlan,再接続,재연결,إعادة الاتصال
NewActivity,New Objective,Новое Задание,NOUVEAU,NEU,NUEVO,NUOVO,NOVO,全新,Yeni,最新,신규,الهدف الجديد
Completed,Completed,Завершено,Terminé,Abgeschlossen,Completado,Completato,Concluído,已完成,Tamamlandı,完了,완료,منجز
Collect,Collect,Забрать,Collecter,Einsammeln,Recibir,Raccogli,Coletar,收取,Topla,収集,획득,تجميع
newEquip,NEW\nEquipment,Новый\nтренажер,Nouvel\néquipement,Neues\nGerät,Nuevo\nequipo,Attrezzi\nnuovi,Novo\nequipamento,新器材,Yeni\nEkipman,新しい設備,새로운 장비,معدات جديدة
idSoldOut,Sold Out,Распродано,Épuisé,Ausverkauft,Agotado,Esaurito,Esgotado,卖光了,Satıldı,完売,매진,بيعت كلها
idSupport,Support,Поддержка,Soutien,Unterstützung,Apoyo,Supporto,"Apoio, suporte",支持,Destek,サポート,지원하다,الدعم
idStart,Start,Стартовать,Début,Start,comienzo,Inizio,Começar,开始,başla,開始,스타트,بداية
idDouble,Double\nReward,Удвоить\nнаграду,Récompense\nDouble,Doppel\nBelohnung,doble\nRecompensa,doppia\nricompensa,Recompensa\nduplo,双倍奖赏,Çift\nÖdül,ダブル報酬,더블 보상,مكافأة مزدوجة
idMissing,Missing,Отсутствует,Manquant,fehlt,Desaparecido,Mancante,Ausência de,失踪,Eksik,行方不明,있어야 할 곳에 없는,مفقود
idDoubleLabel,Double!,Удвоить!,Double!,Doppelt!,¡Doble!,Doppio!,Em dobro!,双！,Çift!,ダブル！,더블!,مزدوج!
idAvailable,Available,Доступно,Disponible,Verfügbar,Disponible,A disposizione,acessível,可得到,Mevcut,利用できます,유효한,متاح
idNextQuest,New Quest in,Новое задание через:,Nouvelle Quest,Neue Quest in,Nueva Quest en,Nuovo Quest in,New Quest em,在新的任务,Yeni Görev,の新クエスト,새로운 퀘스트,كويست جديد في
idLastChance,Last Chance,Последний шанс,Dernière chance,Letzte Möglichkeit,Última oportunidad,Ultima possibilità,Última chance,最后的机会,Son şans,最後のチャンス,마지막 기회,آخر فرصة
QuitGameHeader,Quit,Выход,Quitter,Beenden,Salir,Esci,Sair,退出,Çık,やめる,종료,خروج
QuitGameMessage,Do you want to exit game?,Вы хотите выйти из игры?,Voulez-vous quitter la partie ?,Willst du das Spiel verlassen?,¿Quieres salir del juego?,Vuoi uscire dal gioco?,Você deseja sair do jogo?,你想退出游戏吗？,Oyundan çıkmak istiyor musunuz?,ゲームを終了しますか?,게임을 종료하시겠습니까?,هل تريد الخروج من اللعبة؟
settingsMusic,Music,Музыка,Musique,Musik,Música,Audio,Música,音乐,Müzik,音楽,음악,الموسيقا
settingsSound,Sound,Звук,Son,Sound,Sonidos,Suono,Som,音效,Sesler,サウンド,소리,الصوت
settingsConnect,Connect to Facebook,Facebook,Se connecter à Facebook,Mit Facebook verbinden,Conectarse a Facebook,Collegati a Facebook,Conectar ao Facebook,连接到Facebook,Facebook'a Bağlan,Facebook に接続する,Facebook에 연결,الاتصال بالفيسبوك
settingsFBConnected,Connected,Подключено,Connecté,Verbunden,Conectado,Connesso,Conectado,已连接,Bağlandı,接続,연결됨,متصل
settingsFeedback,Feedback,Обратная Связь,Commentaire,Feedback,Comentarios,Feedback,Opinião,反馈,Geri Bildirim,フィードバック,의견,إرسال
settingsCommunity,Friends,Друзья,Amis,Freunde,Amigos,Amici,Amigos,好友,Arkadaşlar,友達,친구,الأصدقاء
settingConnectGooglePLay,Connect to Google Play,Play Игры,Se connecter à Google Play,Mit Google Play verbinden,Conectarse a Google Play,Connettiti a Google Play,Conectar à Google Play,连接到Google Play,Google Play'e Bağlan,Google Play に接続する,Google Play에 연결,الاتصال بGoogle Play
SettingFriends,Friends,Друзья,Amis,Freunde,Amigos,Amici,Amigos,好友,Arkadaşlar,友達,친구,الأصدقاء
SettingDevTeam,Development Team,Команда Разработки:,Équipe de développement,Entwicklungsteam,Equipo de desarrollo,Squadra di sviluppo,Equipe de desenvolvimento,开发团队,Geliştirici Ekip,開発チーム,개발팀,فريق التطوير
SettingWantaFriend,Want to be a Friends?,Хотите стать Другом?,Vous voulez être amis ?,Willst du mit uns befreundet sein?,¿Quieres ser nuestro amigo?,Vuoi stringere amicizia?,Quer ser nosso amigo?,想成为好友吗？,Arkadaş Olmak İster Misin?,友達になりたいですか?,친구가 되고 싶으신가요?,هل تريد أن تصبح من الأصدقاء؟
settingsDisconnect,Disconnect,Отключить,Se déconnecter,Verbindung trennen,Desconectar,Disconnettiti,Desconectar,断开连接,Bağlantıyı Kes,切断,연결 해제,قطع الاتصال
settingsDisconnected,Connect,Подключить,Se connecter,Verbinden,Conectar,Connettiti,Conectar,连接,Bağlan,接続,연결,الاتصال
findMoreOn,Find more on:,Больше информации:,Plus sur:,Mehr dazu auf:,Encuentra más en:,Trova maggiori su:,Encontre mais em:,查找更多关于：,daha üzerinde bulun:,もっと上の検索：,이상에서 찾기 :,البحث عن المزيد عن:
contactUs,Contact Us,Свяжитесь с нами,Contactez nous,Kontaktiere uns,Contáctenos,Contattaci,Contate-Nos,联系我们,Bizimle iletişime geçin,お問い合わせ,문의,اتصل بنا
settingsGeneral,Settings,Настройки,Réglages,die Einstellungen,ajustes,impostazioni,Definições,设置,Ayarlar,設定,설정,الإعدادات
settingsPrivacy,Privacy,Приватность,Intimité,Privatsphäre,Intimidad,vita privata,Privacidade,隐私,Gizlilik,プライバシー,은둔,الإجمالية
termsOfUse,Terms of Use,Условия использования,Conditions d'utilisation,Nutzungsbedingungen,Términos de Uso,Condizioni d'uso,Termos de uso,使用条款,Kullanım Şartları,利用規約,이용 약관,تعليمات الاستخدام
privacyPolicy,Privacy Policy,политика конфиденциальности,Politique de confidentialité,Datenschutz-Bestimmungen,Política de privacidad,politica sulla riservatezza,Política de Privacidade,隐私政策,Gizlilik Politikası,個人情報保護方針,개인 정보 정책,سياسة خاصة
clientsHeader,Gym Clients,Клиенты,Clients,Kunden,Clientes,Clienti,Clientes,客户,Müşteriler,クライアント,고객,العملاء
clientsYouNeedStyleHeader,You Need,Вам нужно,Vous avez besoin,Du brauchst,Necesitas,Hai bisogno di,Você precisa,你需要,Daha Fazla,もっとクライアントが,고객을 더 확보하려면,تحتاج
clientsYouNeedStyleFooter,to have more CLIENTS,для новых Клиентов,d'avoir plus de CLIENTS,mehr KUNDEN,para tener más CLIENTES,più CLIENTI,ter mais CLIENTES,更多的客户,MÜŞTERİYE İhtiyacın Var,必要です,이(가) 필요합니다,للمزيد من العملاء
clientsWaiting,Waiting...,Ищем...,En attente...,Warten ...,Esperando...,In attesa...,Aguardando...,等待中…,Bekleniyor...,待機中・・・,기다리는 중…,جاري الانتظار...
bankHeader,Bank,Банк,Banque,Bank,Banco,Banca,Banco,银行,Banka,銀行,은행,المصرف
inAppTapToContinue,Tap to continue,Нажмите для продолжения,Appuyez sur pour continuer,"Tippen Sie, um fortzufahren",Pulse para continuar,Tocca per continuare,Clique para continuar,点击继续,Devam etmek için hafifçe vurun,続けるにはタップ,계속 눌러,إضغط للإستمرار
inAppYouGot,Your reward:,Вы получили:,Ta récompense:,Deine Belohnung:,Tu recompensa:,Il tuo premio:,Sua recompensa:,您的奖励：,Ödülün:,あなたの報酬：,귀하의 보상 :,مكافأتك:
inAppThankYou,THANK YOU,СПАСИБО,JE VOUS REMERCIE,DANKE DIR,GRACIAS,GRAZIE,OBRIGADO,谢谢,TEŞEKKÜR EDERİM,ありがとうございました,고맙습니다,شكرا جزيلا
shopHeader,Shop,Магазин,Boutique,Shop,Tienda,Negozio,Loja,商店,Dükkan,ショップ,상점,السوق
shopTabEquipment,Equipment,Тренажеры,Équipement,Geräte,Equipo,Attrezzi,Equipamentos,器械,Ekipman,器具,장비,المعدات
shopTabInterior,Interior,Интерьер,Intérieur,Einrichtung,Interior,Interni,Interior,内墙,İç Mekan,インテリア,인테리어,التصميم الداخلي
shopTabDecor,Decorations,Декор,Décorations,Deko,Adornos,Decorazioni,Decorações,装饰品,Dekorasyonlar,装飾,장식,الديكورات
shopTabProEquip,Professional Sport Equipment,Профессиональные Тренажеры,Équipement sportif professionnel,Professionelle Sportgeräte,Equipo de deporte profesional,Attrezzi sportivi professionali,Equipamentos esportivos profissionais,专业运动器械,Profesyonel Spor Aletleri,プロスポーツ用品,프로 스포츠 장비,معدات الرياضة الاحترافية
shopTabSportResources,Sport Resources,Спортивные ресурсы,Ressources de sport,Sportressourcen,Recursos deportivos,Risorse sportive,Recursos esportivos,运动资源,Spor Malzemeleri,スポーツ用具,스포츠 자원,الموارد الرياضية
shopTabLockedGym,Unlock\nSport Club,Откройте\nСпортивный Зал,Débloquer\nClub de Sport,Sportclub\nfreischalten,Desbloquear\nclub deportivo,Sblocca\nClub sportivo,Desbloquear\nClube esportivo,解锁\n体育俱乐部,Spor Klubü\nAç,スポーツクラブを\nアンロック,스포츠 클럽\n잠금해제,فتح\nالنادي الرياضية
shopUnlockGymSize,Gym size Required,Нужен размер зала,Taille de Gym nécessaire,Sportstudiogröße benötigt,Tamaño de gimnasio necesario,Dimensione palestra necessaria,Tamanho de academia requerido,要求健身房规模,Gerekli Spor Kulübü Ebatı,ジムのサイズが必要,헬스클럽 크기 필요,تم الحصول على مساحة النادي الرياضي
shopUnlockAt,Unlocks at,Откроется на,Se débloque à,Wird freigeschaltet auf,Desbloqueo:,Sblocca a,Desbloqueado em,解锁于,Şunda açılır:,アンロック：,잠금해제:,تفتح عند
shopUnlockRequired,{0} required,Требуется {0},{0} nécessaire,{0} benötigt,Necesitas {0},{0} necessari,{0} requerido(s),需要{0},{0} gerekiyor,{0} が必要です,{0} 필요,{0}   مطلوب
shopOutOfStock,OUT OF STOCK,ГУЛЯЙ,ÉPUISÉ,AUSVERKAUFT,AGOTADO,ESAURITO,ESGOTADO,缺货,STOKLAR TÜKENDİ,品切れ,품절,غير متوفر حالياً
shopRestocks,Restocks in,Поставка через:,Réassort dans,Wird nachgefüllt in,Reabastecimiento en,Rifornisci in,Estoque reabastecido em,离补货还有,Yeniden ürün gelişi:,補充：,재고 보충:,يتوفر عند
showFull,FULL,ЗАНЯТО,COMPLET,VOLL,LLENO,PIENO,CHEIO,已满,DOLU,満杯,가득 참,ممتلئ
shopPaint,PAINT,Покрасить,PEINTURE,FARBE,PINTAR,COLORA,PINTURA,涂料,BOYA,ペンキ,도색,دهان
tabCustomizeMode,Customize Gym Room,Персонализация Тренажерного Зала,Personnaliser Salle de fitness,Passen Gymnastikraum,Personalizar Gimnasio,Personalizza Palestra fitness,Personalize Gym Room,定制健身室,Spor Odası özelleştirme,ジムルームのカスタマイズ,헬스 클럽 룸을 사용자 정의,تخصيص غرفة رياضة
DailyBonusName,Daily Bonus,Ежедневная Награда,Bonus du jour,Täglicher Bonus,Bonificación diaria,Bonus giornaliero,Bônus diário,每日奖励,Günlük Bonus,デイリーボーナス,일일 보너스,المكافأة اليومية
DailyBonusDescription,The callender will be renewed after collecting all rewards. Make sure to collect all the rewards in time!,"Календарь обновится, после того, как Вы соберете все награды.",Le calendrier sera renouvelé après avoir collecté toutes les récompenses. Assurez-vous de collecter toutes les récompenses à temps !,"Der Kalender wird aktualisiert, wenn du alle Belohnungen eingesammelt hast. Hol sie dir rechtzeitig ab!",El calendario se actualizará una vez hayas recibido tus recompensas. ¡Asegúrate de reclamarlas a tiempo!,Il calendario verrà rinnovato dopo aver raccolto tutte le ricompense. Assicurati di raccoglierle tutte in tempo!,O calendário será renovado depois de coletar todas as recompensas. Lembre-se de coletar todas as recompensas a tempo!,收集所有奖励后，日历将会更新。请确保及时收集所有的奖励！,Bütün ödüller toplanınca takvim baştan başlayacaktır. Bütün ödülleri zamanında toplandığından emin ol,カレンダーはすべての報酬を集めた後に更新されます。時間内にすべての報酬を集めるようにしてください！,보상을 모두 받으면 새 달력으로 교체됩니다. 기간 내에 모든 보상을 받으세요!,يتم إعادة تجديد المفكرة بعد جمع كل الجوائز، تأكد من جمعهم في الوقت المناسب!
DailyBonusNextDay,Next Bonus in:,"Следующая награда, через:",Prochain bonus dans :,Nächster Bonus in:,Siguiente bonificación en:,Prossimo Bonus tra:,Próximo Bônus em:,离下次奖励还有：,Bir sonraki bonus:,次のボーナス:,다음 보너스:,المكافأة التالية بعد:
dailyBonusChooseReward,Choose your daily Reward,Выберите Награду,Choisissez votre Récompense du jour,Wähle deine Tagesbelohnung,Elige tu recompensa diaria,Scegli la tua ricompensa giornaliera,Escolha a sua recompensa diária,选择你的每日奖励,Günlük ödülünü seç,毎日の報酬を選択,일일 보상을 선택하세요,اختر جائزتك اليومية
dailyBonusGuaranteedReward,Guaranteed Reward,Гарантированный Приз:,Récompense garantie,Garantierte Belohnung,Recompensa garantizada,Ricompensa garantita,Recompensa garantida,保证奖励,Garanti Ödül,保証された報酬,보상 보장,جائزة مضمونة
dailyBonusOpenFor,Open for,Открыть,Ouvrir pour,Öffnen für,Abrir por,Apri per,Abrir por,开门,Şu kadar gün için açık:,開く：,열기:,تفتح لمدة
dailyBonusDay,Day,День,Jour,Tag,Día,Giorno,Dia,天,Gün,日,일,اليوم
levelUPHeader,LEVEL UP,Новый Уровень,Montée en niveau,Level GESTIEGEN,Nuevo nivel,Livello +,SUBIU DE NÍVEL,升级,Seviye ATLA,レベルアップ,레벨업,ارتفع المستوى
levelUpYouReachedlevel,CONGRATULATIONS!\nYou have reached <color=#0080B0FF>LEVEL {0}</color> GYM,ПОЗДРАВЛЯЕМ!\nВы достигли <color=#0080B0FF>Уровень {0}</color>,FÉLICITATIONS !\nVous avez atteint le <color=#0080B0FF>NIVEAU {0}</color> DE GYM,GLÜCKWUNSCH!\nDu hast das <color=#0080B0FF>LEVEL {0}</color> SPORTSTUDIO erreicht,¡ENHORABUENA!\nTu gimnasio es <color=#0080B0FF>NIVEL {0}</color>,CONGRATULAZIONI!\nHai ottenuto una PALESTRA di <color=#0080B0FF>LIVELLO {0}</color>,PARABÉNS!\nVocê chegou ao <color=#0080B0FF>NÍVEL {0}</color> da ACADEMIA,恭喜！\n你的健身房已达到<color=#0080B0FF>第{0}级</color>,Tebrikler!\n<color=#0080B0FF>Seviye {0}</color> Spor Salonuna eriştin,おめでとう! \n<color=#0080B0FF>レベル {0} のジム</color=#0080B0FF>に到達しました。,축하합니다!\n<color=#0080B0FF>레벨 {0}</color> 헬스클럽에 도달했습니다.,مبروك!\nلقد وصلت إلى  المستوى {0}  من النادي
levelUpUtemsUnlocked,New Items and Rewards:,Ваша награда и новые предметы,Nouvel objet débloqué et Récompense accordée,Neue Gegenstände freigeschaltet und es gibt neue Belohnungen!,¡Nuevo objeto desbloqueado! ¡Has obtenido nuevas recompensas!,Nuovo oggetto sbloccato e ricompensa ricevuta!,Novo item desbloqueado e Recompensas dadas!,新物品解锁并获得奖励！,Yeni eşya Açıldı ve Ödüller Verildi!,新しいアイテムがアンロックされ、報酬が与えられました！,"새로운 아이템 잠금해제, 보상 지급!",تم فتح عنصر جديد وإعطاؤك جوائز جديدة!
LvlUPSuperb,SUPERB,Отлично!,SUPERBE,WUNDERBAR,EXCELENTE,ECCEZIONALE,EXCELENTE,好极了,MUHTEŞEM!,おみごと,좋아요,رائع
lvluptotalClients,Total Clients +1,Клиентов +1,Total Clients +1,Gesamtanzahl Kunden +1,Total de clientes + 1,Totale clienti +1,Total de clientes +1,客户总数+1,Toplam Müşteri +1,合計クライアント数 + 1,총 고객 +1,الزبائن الكليون +1
rateUsHeader,HAVING FUN?,НРАВИТСЯ ИГРА?,VOUS VOUS AMUSEZ ?,DAS SPIEL MACHT DIR SPASS?,¿TE DIVIERTES?,TI STAI DIVERTENDO?,ESTÁ SE DIVERTINDO?,玩得开心吗？,EĞLENİYOR MUSUN?,楽しんでいる?,즐기고 계신가요?,هل تستمتع؟
rateUsNeedImprovement,Needs Improvement,Требуются доработки,Besoin d'amélioration,Es könnte noch verbessert werden,Necesita mejora,Ha bisogno di miglioramenti,Precisa melhorar,需要改进,Gelişmeye ihtiyacı var,改善が必要,개선이 필요해요,بحاجة للتطوير
rateUsLOVEIT,LOVE IT!,СУПЕР!,J'ADORE !,ICH LIEBE ES!,¡GENIAL!,FANTASTICO!,ADORO!,我喜欢！,ÇOK SEVDİM!,いいね！,마음에 들어요!,إنها رائعة!
styleWindowHeader,Gym Style,Стиль Зала,Style de Gym,Sportstudiostil,Estilo del gimnasio,Stile palestra,Estilo da academia,健身房风格,Salon Stili,ジムスタイル,헬스클럽 스타일,أناقة النادي الرياضي
styleWindowDescription,You need to increase Gym Style to attract more Clients.,"Увеличивайте уровень Стиля, чтобы привлечь Клиентов",Vous devez améliorer le Style de Gym pour attirer plus de clients.,"Du musst den Sportstudiostil erhöhen, um mehr Kunden anzuziehen.",Tienes que aumentar el estilo del gimnasio para atraer a más clientes.,Hai bisogno di aumentare lo Stile palestra per attrarre più clienti.,Você precisa elevar o Estilo da academia para atrair mais clientes,你需要改善健身房风格来吸引更多客户。,Daha fazla Müşteri çekebilmek için Spor Salonu Stilini yükseltmen lazım,もっとクライアントを引き付けるためにジムスタイルを高める必要があります。,더 많은 고객들을 끌어모으려면 헬스클럽 스타일을 올려야 합니다.,عليك تطوير أناقة النادي الرياضي لجذب زبائن أكثر.
